|1identity|2g-mod|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11whenever you install a virus program, the corp trashes the top card of r&d.|12|13noise: hacker extraordinaire|

|1event|2|3anarch|4&^^|5|6|7|8|9|10|11add &^ card (or up to &^^ virus cards) from your heap to your grip.|12&^^|13déjà vu|

|1event|2run, sabotage|3anarch|4&^^|5|6|7|8|9|10|11run hq or r&d.\{C}: trash the card you are accessing.|12&^^|13demolition run|

|1event|2run|3anarch|4&^|5|6|7|8|9|10|11place {C}^^^^^^^^^ on this event, then run any server. during that run, hosted credits are considered to be in your credit pool. when the run ends, suffer &^ brain damage, which cannot be prevented.|12&|13stimhack|

|1hardware|2chip|3anarch|4&^|5|6|7|8|9|10|11{R}^\use this credit to pay for using icebreakers or for installing virus programs.|12&^^|13cyberfeeder|

|1hardware|2console|3anarch|4&^^|5|6true|7|8|9|10|11+{M}^^\whenever you install a virus program, place &^ virus counter on that program.\limit &^ console per player.|12&^^^|13grimoire|

|1program|2icebreaker, fracter|3anarch|4&^^|5&^^|6|7|8&^|9|10|11{C}^: break &^ barrier subroutine.\{C}^: +&^ strength.|12&^^|13corroder|

|1program|2virus|3anarch|4&^|5|6|7|8&^|9|10|11whenever you make a successful run on a central server, place &^ virus counter on @.\hosted virus counter: rezzed piece of ice currently being encountered has -&^ strength until the end of the encounter.|12&^|13datasucker|

|1program|2daemon|3anarch|4&^^|5|6|7|8&^|9|10|11@ can host up to {M}^^^ of non-icebreaker programs.\the memory costs of hosted programs do not count against your memory limit.\{O}, {C}^: search your stack for a virus program, reveal it, and add it to your grip. shuffle your stack.|12&^^|13djinn|

|1program|2virus|3anarch|4&^^^|5|6|7|8&^|9|10|11whenever you make a successful run on r&d, place &^ virus counter on this program.\whenever you breach r&d, choose a number less than the number of hosted virus counters. access that many additional cards.|12&^^^|13medium|

|1program|2icebreaker, killer|3anarch|4&^|5&^^^|6|7|8&^|9|10|11{C}^: break &^ sentry subroutine.|12&^^^|13mimic|

|1program|2virus|3anarch|4&^^|5|6|7|8&^|9|10|11install @ only on a rezzed piece of ice.\host ice has -&^ strength for each virus counter on @ and is trashed if its strength is & or less.\when your turn begins, place &^ virus counter on @.|12&^^|13parasite|

|1program|2icebreaker, ai|3anarch|4&^^|5&^|6|7|8&^|9|10|11{C}^^^: break &^ subroutine on a piece of ice with & or less strength.\{C}^: the ice you are encountering gets -&^ strength for the remainder of this encounter.\{C}^: +&^ strength.|12&^|13wyrm|

|1program|2icebreaker, decoder|3anarch|4&^|5&^^^|6|7|8&^|9|10|11{C}: break &^ code gate subroutine.|12&^^^^^|13yog.0|

|1resource|2virtual|3anarch|4&^^^|5|6true|7|8|9|10|11while you are encountering a piece of ice, it gets -&^ strength.|12&^^^|13ice carver|

|1resource|2location, seedy|3anarch|4&^^^|5|6true|7|8|9|10|11when your turn begins, draw &^^ cards and lose {O}.|12&^^^|13wyldside|

|1identity|2cyborg|3criminal|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time you make a successful run on hq each turn, gain {C}^^.|12|13gabriel santiago: consummate professional|

|1event|2run, sabotage|3criminal|4&^^^^|5|6|7|8|9|10|11run hq. if successful, instead of breaching hq, you may force the corp to lose up to {C}^^^^^, then you gain {C}^^ for each credit lost and take &^^ tags.|12&|13account siphon|

|1event|2job|3criminal|4&^|5|6|7|8|9|10|11gain {C}^^^.|12&|13easy mark|

|1event|2sabotage|3criminal|4&^^|5|6|7|8|9|10|11choose &^ unrezzed piece of ice. the corp may rez that ice. if they do not, they trash it.|12&^|13forged activation orders|

|1event|2run|3criminal|4&^^^|5|6|7|8|9|10|11run any server. the first time this run you encounter a piece of ice, bypass it.|12&^^|13inside job|

|1event|2|3criminal|4&^^|5|6|7|8|9|10|11search your stack for an icebreaker, reveal it, and add it to your grip. shuffle your stack.|12&^|13special order|

|1hardware|2|3criminal|4&^|5|6|7|8|9|10|11{O}, {C}^: expose &^ card. use this ability only if you have made a successful run on hq this turn.|12&^|13lemuria codecracker|

|1hardware|2console|3criminal|4&^^^|5|6true|7|8|9|10|11+{M}^\gain {C}^ whenever you make a successful run.\limit &^ console per player.|12&^^^|13desperado|

|1program|2icebreaker, fracter|3criminal|4&^|5&^|6|7|8&^|9|10|11{C}^^: break &^ barrier subroutine.\{C}^^: +&^^^ strength.|12&^^^|13aurora|

